"Urban_Area","Pop_Group","Yr","Population","Pop_Rank","Commuters","Freeway_Daily_Miles","Street_Daily_Miles","Value_of_Time","Comm_Value_of_Time","Gas_Cost","Diesel_Cost","Excess_Fuel_Gal","Excess_Fuel_Per_Com","Annual_Delay_Hours","Delay_Per_Commuter","Com_Stress_Ind","Congestion_Cost","Congest_Cost_Per_Com"
"Omaha NE-IA 2010","Med","2010","720","58","375","4971","6663","16.3","88.12","2.74","2.92","8757","15","16737","31","1.2","406","705"
"Omaha NE-IA 2012","Med","2012","740","57","388","5070","6010","17.14","89.56","3.47","3.88","9423","16","18011","32","1.21","415","721"
"Omaha NE-IA 2013","Med","2013","755","56","396","5182","5954","17.39","89.6","3.5","3.81","9479","16","18118","32","1.21","411","714"
"Omaha NE-IA 2014","Med","2014","770","56","396","5369","5978","17.67","94.04","3.35","3.55","9535","17","18224","32","1.2","407","707"
"Orlando FL 2011","Lrg","2011","1515","32","775","13353","16909","16.79","86.81","3.24","3.65","22686","20","49967","45","1.25","1203","1041"
"Orlando FL 2010","Lrg","2010","1485","32","771","13154","16657","16.3","88.12","2.74","2.96","22607","20","49792","45","1.25","1237","1070"
"Orlando FL 2012","Lrg","2012","1555","32","782","12285","16240","17.14","89.56","3.5","3.87","22883","20","50400","45","1.25","1189","1029"
"Orlando FL 2013","Lrg","2013","1600","31","804","12825","16732","17.39","89.6","3.47","3.9","23352","20","51433","44","1.25","1196","1035"
"Orlando FL 2014","Lrg","2014","1615","31","797","12928","17251","17.67","94.04","3.27","3.6","23938","21","52723","46","1.25","1207","1044"
"Oxnard CA 2011","Sml","2011","355","88","180","7015","6324","16.79","86.81","3.51","4.02","2137","8","5991","23","1.36","134","496"
"Oxnard CA 2010","Sml","2010","350","89","177","6956","6271","16.3","88.12","3.05","3.2","2041","8","5723","22","1.36","133","489"
"Oxnard CA 2012","Sml","2012","360","88","183","7060","6365","17.14","89.56","3.89","4.2","2184","8","6123","23","1.36","135","497"
"Oxnard CA 2013","Sml","2013","365","88","186","2018","3197","17.39","89.6","3.89","4.12","2206","8","6185","23","1.36","134","495"
"Oxnard CA 2014","Sml","2014","370","89","185","2093","3255","17.67","94.04","3.63","3.85","2241","8","6282","23","1.36","134","494"
"Pensacola FL-AL 2011","Sml","2011","360","87","178","1419","5058","16.79","86.81","3.24","3.65","5046","17","10858","39","1.18","256","880"
"Pensacola FL-AL 2010","Sml","2010","360","87","177","1407","5016","16.3","88.12","2.74","2.96","4978","17","10711","38","1.18","260","896"
"Pensacola FL-AL 2012","Sml","2012","365","87","181","1370","4945","17.14","89.56","3.5","3.87","5072","17","10914","38","1.18","252","867"
"Pensacola FL-AL 2013","Sml","2013","370","87","183","1541","4912","17.39","89.6","3.47","3.9","5099","18","10971","38","1.18","250","859"
"Pensacola FL-AL 2014","Sml","2014","375","86","182","1598","4932","17.67","94.04","3.27","3.6","5120","18","11017","38","1.18","247","849"
"Philadelphia PA-NJ-DE-MD 2011","Vlg","2011","5490","5","2366","34246","45784","16.79","86.81","3.41","3.79","77271","23","156807","47","1.28","3852","1167"
"Philadelphia PA-NJ-DE-MD 2010","Vlg","2010","5465","5","2377","34144","45648","16.3","88.12","2.78","3.12","77041","23","156341","47","1.28","3962","1200"
"Philadelphia PA-NJ-DE-MD 2012","Vlg","2012","5520","5","2334","33735","45055","17.14","89.56","3.55","4","76855","23","155963","47","1.28","3754","1137"
"Philadelphia PA-NJ-DE-MD 2013","Vlg","2013","5550","5","2346","35794","45028","17.39","89.6","3.52","3.93","77425","23","157119","47","1.28","3727","1129"
"Philadelphia PA-NJ-DE-MD 2014","Vlg","2014","5560","5","2305","36224","45884","17.67","94.04","3.29","3.57","77456","23","157183","48","1.28","3669","1112"
"Phoenix-Mesa AZ 2011","Vlg","2011","3790","12","1902","29657","35248","16.79","86.81","3.19","3.68","70974","23","145550","50","1.31","3581","1181"
"Phoenix-Mesa AZ 2010","Vlg","2010","3740","12","1870","29278","34798","16.3","88.12","2.7","2.99","69132","23","141773","50","1.3","3598","1187"
"Phoenix-Mesa AZ 2012","Vlg","2012","3850","11","1942","30025","34460","17.14","89.56","3.34","3.94","73327","24","150376","51","1.31","3625","1196"
"Pittsburgh PA 2011","Lrg","2011","1775","28","853","11431","16218","16.79","86.81","3.41","3.79","22705","20","42155","36","1.22","1021","881"
"Pittsburgh PA 2010","Lrg","2010","1775","28","850","11754","16200","16.3","88.12","2.78","3.12","22140","19","41105","36","1.22","1027","886"
"Pittsburgh PA 2012","Lrg","2012","1770","28","852","8800","15700","17.14","89.56","3.55","4","23208","20","43089","37","1.23","1023","882"
"Pittsburgh PA 2013","Lrg","2013","1770","28","852","8820","15056","17.39","89.6","3.52","3.93","23496","20","43622","38","1.23","1021","880"
"Pittsburgh PA 2014","Lrg","2014","1765","28","854","9093","14740","17.67","94.04","3.38","3.73","24107","21","44758","39","1.23","1030","889"
"Portland OR-WA 2011","Lrg","2011","1925","23","811","15084","14039","16.79","86.81","3.56","3.91","36403","26","66482","50","1.38","1705","1231"
"Portland OR-WA 2010","Lrg","2010","1900","23","798","14788","13857","16.3","88.12","2.86","3.1","34112","25","62297","48","1.36","1648","1190"
"Portland OR-WA 2012","Lrg","2012","1950","23","824","13565","13880","17.14","89.56","3.67","4.06","38188","28","69742","52","1.39","1753","1266"
"Portland OR-WA 2013","Lrg","2013","1975","23","834","13536","13799","17.39","89.6","3.7","3.92","38878","28","71002","52","1.4","1759","1270"
"Poughkeepsie-Newburgh NY-NJ 2011","Sml","2011","440","82","208","5123","4779","16.79","86.81","3.65","3.99","5425","16","12174","35","1.13","299","865"
"Poughkeepsie-Newburgh NY-NJ 2010","Sml","2010","440","81","207","5114","4770","16.3","88.12","2.95","3.21","5348","15","12002","35","1.12","304","880"
"Poughkeepsie-Newburgh NY-NJ 2012","Sml","2012","440","82","208","5050","4670","17.14","89.56","3.75","4.17","5536","16","12423","36","1.13","299","865"
"Poughkeepsie-Newburgh NY-NJ 2013","Sml","2013","440","82","208","5301","4718","17.39","89.6","3.79","4.2","5646","16","12672","36","1.13","300","870"
"Poughkeepsie-Newburgh NY-NJ 2014","Sml","2014","440","82","205","5455","4869","17.67","94.04","3.63","3.92","5723","17","12843","37","1.13","299","867"
"Providence RI-MA 2011","Lrg","2011","1180","38","594","11861","10431","16.79","86.81","3.53","3.76","18536","21","37173","42","1.22","875","984"
